AcademicYear,Gender,Origin,TravelFrequency,Budget,PreferredDistance,TripDuration,TravelWith,VisitedDestinations,ScenicBeauty,AdventureOpportunities,Accommodation,CostBudget,MountainRating,BeachRating,IslandRating,FavouriteDestination
Year 2,Female,Non-Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Important,Neutral,Very important,Very Satisfied,Satisfied,Satisfied,Islands
Year 2,Male,Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug),Very important,Important,Neutral,Neutral,Very Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Non-Sabahan,Never,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Neutral,Neutral,Important,Satisfied,Neutral,I have not visited this destination,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Short (<1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Important,Important,Important,Very important,Satisfied,Satisfied,Neutral,Mountains
Year 2,Female,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Important,Important,Important,Important,I have not visited this destination,Satisfied,Satisfied,Beaches
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),More than 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Very important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
Year 2,Female,Non-Sabahan,Weekly,<RM100,Short (<1 hour),1 day,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Somewhat important,Very important,Very Satisfied,Very Satisfied,Very Satisfied,Mountains
Year 2,Female,Non-Sabahan,Weekly,RM100 - RM200,Short (<1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Neutral,Satisfied,Satisfied,Islands
Year 2,Female,Sabahan,Annually,>RM200,Long (>1 hour),2 - 3 days,Family,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec), Islands (Eg. Semporna/Gaya/Manukan/Mamutik/Sapi/Sulug)",Very important,Very important,Very important,Very important,Satisfied,Very Satisfied,Very Satisfied,Islands
Year 2,Male,Non-Sabahan,Monthly,RM100 - RM200,Long (>1 hour),2 - 3 days,Friends,"Mountain sites (Eg. Mount Kinabalu/Kundasang/etc.), Beaches in Sabah (Eg. Tanjung Aru/ Tanjung Lipat/ Odec)",Very important,Very important,Very important,Somewhat important,Very Satisfied,Very Satisfied,I have not visited this destination,Beaches
